idioms,literal_meaning
ስልጡን አፍ,አለሁ አለሁ ባይ
ብረ ሸሽ,ዘለግ ያለ ሰው ነው
ቃሪያ ድምጥ,ድምጡ ገና ያልተገራ
ቁስለ ስጋ,ቁምጥና
ታቦት ነገሰ,ታቦት ወጣ
ነገር ሻጠብኝ,ድንገት ጣል አደረገብኝ
ስለሆነ,በመደረጉ ምክንያት
መስቀልን ተሰላጢን,የአለሙንም የሀይማኖቱንም የተማረ
ትከሻ ቢስ,ቀትረ ቀላል
የነካው,እብድ ወፈፌ
አይኑ ሞቷል,አያይም
አይኑን ሰቅሎ አዬ,ትኩር ብሎ አየ
ጋኑ ተሾመ,ጋኑ ተሞላ
በሩን ቀረቀረ,ዘጋ
ዝናቡ ነዘነዘ,ያለማቋረጥ ዘነበ
ሰማዩ ተደፋበት,ግራ ተጋባ
ሰለጠነባቸው,በኋላ መጥቶ የበላያቸው ሆነ
ቡዳ ቀረጠፈው,ቡዳ በላው
አቀለጠኝ,አታለለኝ
ገንዘቡን አቃጠለ,ባልባሌ ነገር አጠፋ
በል እንጂ,ተናገር እንጂ
ትከሻማ,ግርማ ሞገስ ያለው ሰው
ሰማይ ሰማይ አትይ,መንገድህን እይ
ነቃ በል,ጠንቀቅ በል
ጠጉር ስንጠቃ,አጉል መራቀቅ
ተቃበጠ,ተጫወተ
የቀለም ሰው,የትምህርት ሰው
ቃሉን ሰጠ,መሰከረ
ልብ ወረደው,ሰውነቱ ዛለ
የጀግኖች ባል,ከጀግኖች በላይ የሆነ ጀግና
በቀንዱ አፈር ያዘ,ነገር ፈለገ
የነገር ቁራጭ,ነገር ማሳጠሪያ
ቂሙን ቀረፈ,ቂሙን አስወገደ
በገና መታ,ደረደረ
ነገር ለኮሰ,በነገር ሰውን አጣላ
የሰው በታች,ወራዳ
ዘመዱን ሸኘ,ዘመዱ ሞተበት
ቅርጥ የለሽ,ቁመና ቢስ
ተባራሪ ወሬ,ምንጩ የማይታወቅ ወሬ
በትሩ ሀይለኛ ነው,አመታቱ መርዛም
ነገር ሰራ,አሳበቀ
የንክ ንካው ያለህ,እንዴት ያለ ውርጅብኝ ነው
ልቡ ቆመ,ሀሳብ ውስጥ ነው
ሆዱን በላው,አሳዘነው
ካርኔ ቆረጠ,ደረሰኝ ወሰደ
ትምህርት ቀለበ,ቶሎ ገባው
ሰነፍ እርቅ,ከልብ ያልሆነ እርቅ
አክ እንትፍ አለ,ፈፅሞ ጠላው
ምድር ቀለጠ,የተፋፋመ ጠብ ሆነ
ብልት አዋቂ,የስጋ አይነት አዋቂ
ዳኝነቱን አነሳ,እዳውን አመነ
ጉንፋኑ በሰለ,እየዳነ ሄደ
ስራ ተቋርጠ,የስራ ውል ተስማማ
አላዋቂ ሳሚ,ስነ ስርአት አልባ
ልጁ ቀለጠ,ተበላሸ
ቀን ቀን አለው,እየለየ የሚሆንበት ጊዜ
ሰረገላ ውግ,ስውር ስፌት
ቀትር ቀትር,ግትር ወይም መመናቀር
ቁም ዜማ,ከበሮ የሌለበት ዋና ዜማ
የእግዜብሄር በትር,የእግዚአብሄር ቁጣ
ተነሳሳ,በል በል አለው
ምንጭር ቆራጭ,ታማኝ
ሲያቀና ዋለ,ሲነግድ ዋለ
ተልባ,ተንሸራታች
በሬው ቀና,ተስተካከለ
ብረት ሰራ,ቀጠቀጠ
አመል ነሳ,አመለቢስ ሆነ
ሰው ሆነ,ራሱን ቻለ
መከራ ቀመሰ,ተሰቃየ
ደመ መምህር,ነገር የሚገንበት
ንብዝ ያዘው,ልብ ያጣ ወደ አጉል ነገር እያመራ ያለ
ሙት ደረቅ አይበላም,ማንኛውም ሙት እንደ አቅሙ ይቆረብለታል
ራሱን ቻለ,ራሱን አስተዳደረ
ለጋ ጨረቃ,ብርሀኗ ገና ያልደመቀ
በረሀብ ተቀጣ,ረሀብ ጠነከረበት
ነገር ቆሰቆሰ,ነገር አነሳሳ
ሆነብኝ,የማልወደው ነገር ደረሰብኝ
ማእዱን አማገጠ,የቀረበለትን በደንብ ሳይበላ ቀረ
እንደመሆኑ መጠን,ስለሆነ
ቁርጥ ስጋ,ጥሬውን የሚበላ ስጋ
ሳት አደረገ,ፈሱን ፈሳ
ስብሳብ የተወለደ,የትም የተወለደ
እርግፍ እርግፍ አለች,እስክስታ ወረደች
ክፉ ስልጣኔ,ተንኮል
ቃሉን አጠፈ,ከዳ
ዋጋ ቆለለ,አብዝቶ ተናገረ
ሆደ ገር,የዋህ ሰው
ይቅር ተባባለ,ተስማማ
ህግ ገባ,ልጃገረድ ከመረጠ
አገር ረጋ,ሰላም ሆነ
እንባ ጠባቂ,ተቆርቋሪ
ባላ አቁሞ,በሰፊው
ራሱን ሳተ,ትክክል ማሰብ አቃተው
ሳብ ረገብ,ያዝ ለቀቅ
ባልና ሚስት ቁልፍ,ተሰካኪ ቁልፍ
አንድ ሰበር,ልጅ ከብት
ባዶውን ቀረ,ያለ ምንም ነገር ቀረ
በልብ አዋለ,አስታወሰ
ነገሩ ረቀቀ,ጥል ቆመ
ቁርበተ ሞኝ,ሲያዩት አላዋቂ የሚመስል
ሞቅ ሞቅ አለ,ደመቅ ደምቅ አለ
ቃሪያ ሰነጋ,በጨው አጣፈተ
ባር ባር አለው,ፍራት ፍራት አለው
የስጋ ከብት,ለምቾት ብቻ የሚያስብ
ብቅል ረገጠ,ብቅል አበቀለ
ነበር ነው,ያለፈ ጉዳይ ነው
ተክሊል ሞላ,በተክሊል አገባ
ቀደም ቀደም አትበል,አለው አለው አትበል
ባለህበት ርጋ,አትፍራ
ቀኝ ቀኙን ያስመልክትህ,ደግ ደጉን
ይቅር አለ,ታረቀ
በረገድ በረገዱ,በወገን በወገኑ
ባዶ,ጭንቅላት የሌለው
ቂም መቅረፊያ,ማመካኛ
ደጀኑን ሰበረ,ጥሶ ሄደ
ያንሳህ,ይግደልህ
በሞተ ከዳ,ተተኪ
ቀጭን እመቤት,ራሷን የቻለች
ሆዱን ቆረጠው,ነገሩ ከነከነው
ሀፍረት ለበሰ,በጣፋቱ አፍሮ ፈዝዞ ቀረ
ከርስት ነቀለ,አባራረ አስወጣ
ያዞ እንባ,የውሸት ሀዘን
ስር ነቃይ,አስማተኛ
ቤት ለቤት,እቤት ውስጥ
ቁጣዬን ቀሙኝ,መናደድ ያለብኝ እኔ ነበርኩ
ዛፉ ሞተ,ደረቀ
ሰምና ፈትል ሁናችኋል,ተስማማታችኋል
ስልክ መታ,ስልክ ደወለ
ራሱን አዋረደ,ትሁት ሆነ
ቀርበታ ሆድ,ሆደ ትልቅ
ህግ አፈረሰ,ቆቡን ጣለ
በሀብት የበሰበሰ,ብዙ ሀብት ያለው
ሆዱ ሻከረ,ነገር ገባው
ነውረ ስጋ,የሰውነት ሀጢአት
ሌባ ዝናብ,ሳይታሰብ ድንገት የመጣ ዝናብ
እሰጥ አገባ,ሙግት
ከሆነማ,ከተቻለ
ቅል አንገት,የደጋን ማርገብገቢያ
ላይ ታች አለ,ወላወለ
ለመናት,በግብረ ስጋ እንገናኝ አላት
ልቡ ቀዘቀዘ,አዘነ ትካዜ ገባው
እንባ ቀረሽ,ሊያለቅስ ትንሽ የቀረው
ባዝራ ተድንጉላ,ሴትና ወንድ
ክርስትና አነሳ,የክርስትና አባት ሆነ
ሆድ ሆዴን አለኝ,ስለ ሆዴ አጉል ተናገረኝ
ቁም ነገር,ትክክለኛ ነገር
ልቡ ሞቷል,ሰንፏል
ፀሀይ መታው,ፀሀይ አቃጠለቅ አጠፋው
ጭቃው መጠጠ,መድረቅ ጀመረ
ሰውነቱን ሸመቀቀው,አሳፋረው ያየው ነገር አሳዘነው
ራስ ስሞሽ,በጥብቅ ለመነ
ህግ ሰበረ,ህግ ተላለፈ
የማያቀራርብ ስራ,የተንኮል ስራ
ሾለከ,አመለጠ
ጉልበቱ ተሸነፈ,ጉልበቱ ደከመ
በሰው ፊት ቀሰለ,ተዋረደ
ሀሳበ ቢስ,ደንታ ጣጣ የሌለው
ከበግ አይሻልም,ሞኝ ነው
ርጋጭ ርጋጭ ይላል,እምክ እምክ ይላል
ሆዱ ጠቡቷል,አይርበውም
ቡፍ አለ,ቶሎ ተቆጣ
ቆጠረ,ሰጠ ሸለመ
ቁጥብ ቁጥብ,ትንሽ ትንሽ
ፊት ነሳ,በጥላቻ ተመለከተ ተኮሳተረ
ብር ነቀል,ትምህርቱን ጨርሶ ስራ የጀመረ ሰው
አልተቀራረቡም,በዋጋ አልተስማሙም
የርሱ ነገር በቃኝ,ሰለቸ
ምናምንቴ,ወራዳ የማይረባ 
ንቃይ,አራሙቻ
ዋጋ ቀረፈ,አሳነሰ
ማላ አፈረሰ,ምሎ ከዳ
የጉም ሽንት,በጉም ጊዜ ቀስ በቀስ የሚዘንብ ዝናብ
መሟጠጫ,መጨረሻ
ቅዱስ ባለጌ,የተለየ ልዩ ባለጌ
እንደ ቢጤው መምህር,እንደ እራስ መምህር
ይለዋወጣል,አመሉ ይቀያየራል
የድሀ መከታ,ለድሆች አዛኝ
ልቅም ያለች,እጅግ ባለሙያ
መተረቻ ሆነ,ማሾፊያ ሆነ
በሀሰት ለጠፈበት,ያልላጠፋውን አጥፊ ነህ አለው
ጠላው ተቆጣ,ጣእሙን አጣ
ሽባጥ,ያለ ስራው የገባ ሰው
ማንቆርቆሪያ አፍንጫ,አፍንጫ ሰፊ
ሰማይ ዳሴ,በጣም ረጅም
ላይ ላዩን ሄደ,ነካ ነካ አደረገ
ተው ተው አለ,ገላገለ
እሾህን በሾህ,እርስ በራሱ
ምድር ያዘ,ደከመ
ምሳ አደረገ,ጋበዘ
አለጠለጠ,አማረበት
አሳሩን በላ,መከራ አዬ
ቋሚ ንብረት,የማይንቀሳቀስ ንብረት
አስበላኸኝ,አጋለጥከኝ
ይበላል,ደምወዝ ያገኛል
ቀንደኛ,ልቅደም ልቅደም ባይ
ለመከራ ሰጠ,ዳረገ
ተው ባይ,መካሪ
ቀንበር ተሸከመ,ሁሉንም ስራ ሳይሰለች የሚሰራ
ባህር እሳት,ፍልውሀ
ቁመተ ዶሮ,አጭር ሰው
ስር ጠምዛዣ,አስማተኛ
ቀልበ ጮሬ,የማይጨበጥ
አመለከተ,ነገረ
ቅጡም እንዲያ ነው,ወሬው
ይሆናል ብሎ,የሚፈፀም መስሎት
የሰው ስጋ መብላት ይወዳል,ሀሜተኛ ነው
ልቡ አበጠ,ተጀነነ ተኩራራ
ሴተ መሬት,ወፍራምነት የሌለው ቀላል መሬት
ተራ ሰው,አልባሌ ሰው
ልብ አጣ,ረሺ ሆነ
የበላይና የበታች,አለቃና ታዛዥ
ምድር ተፋችው,ከከባድ አደጋ ዳነ
ባትህን አሳዬኝ,ቶሎ ቶሎ ተራመድ
ጨዋታው ሞቀ,ሁሉም ይለፈልፍ ጀመር
ሰብቷል,ደልቶታል
አባ ሙላት,በጣም ቸር
ነገር ሸተተው,መጣላት ፈለገ
እድሜው ተሰናከለ,አጠረ
ስም ለበስ,ውስጠ ክፉ
ተቋቋመ,ትዳር ያዘ
ባለ ቀትር,በጣም የተናደደ
ዋንጫ ልቅለቃ,የአንገት እስክስታ
ሀይ አለ,አባረረ
ቤት ሞላ,ስንኙ ገጠመ
ያንበሳ መደብ,ያንበሳ መኖሪያ
ምስጢር ባከነ,ተገለጠ
ተለሳለሰ,ስራ ፈቶ ተቀመጠ
ራሱን ቀበረ,ተሽገገ
ለ አትሰለፍ,አትተባበር
ስም አጠፋ,አማ
ባለቤት,የአንድ ነገር ባለንብረት
ዝርዝር ምስክር,ተራ ምስክር
ቅጥየለሽ,ስርአት የለሽ
ማህሌት ቆመ,ምስጋና አደረሰ
ሳረ በል,ከእህቱ የተገናኘ
ሟጣጭ ሌባ,ሳያስቀር የሚሰርቅ
የኔ ቢጤ,ለማኝ
ስብስብ,ጨዋ
ሊበላ ,ሊገኝ
ልቡን ከዳው,ወፈፍ አደረገው
ባዶ እጅ,ስጦታ ያልያዘ እጅ
እግዚአብሄርህን ሰብስብ,ዙረት አታብዛ
በልክ,በመጠን
ብትን ወረቀት,ያልተጠረዘ ወረቀት
ምን ቆረጠኝና,ምን አገባኝ
ቆንጣጭ,የሚቆጣ
ሰረገላ ቁልፍ,ውስጥ ለውስጥ የሚዘጋ ቁልፍ
በለስ ቀናው,አደን አገኘ
ልቡ ባከነ,በስራ ብዛት የምይዘውንና የሚጥለውን አጣ
የጎድን በር,ስጋ የሚገባበት በር
ቁብ የለሽ,ግድ የለሽ
ቆስቁሶ ቆስቁሶ,ነካክቶ ነካክቶ
ቀላድ ጣለ,መሬት ለካ
ራስሱ ዞረ,ተናደደ ተበሳጨ
አርከፈከፈብን,ትንሽ ትንሽ ሰጠን
ነገር ተበተበ,አሴረ
ራስ ምታት,ራስ ህመም
የመስቀል ወፍ,ቆይቶ ቆይቶ የሚታይ
ቤተ ክርስትያን ሳመ,ወደ ቤተ ክርስትያን ሄደ
ዱላ ሸተተው,በትር ፈለገው
ንክር,ሞኝ
ቢጤ ከቢጤው,ካምሳያው
ካገር በነነ,ካገር ጠፋ
መኪናዬ በሽተኛ ሁናለች,በየጊዜው ትበላሻለች
ቀን ወጣለት,ጥሩ ጊዜ አጋጠመው
እልታው ቀለጠ,አማረ
እንባ አቀረረ,ሊያለቅስ ቃጣው
ተቃቃረ,ተቀያየመ
ተወው,መከራ ይድርሰበት
መሬቱ ተርቧል,ዝናብ አጥፍቶታል
አልብሽኝ አንተርሽኝ,አሞላቂኝ
ባጣ ባጣ,ምንም ቢጠፋ
ልብስህን ሰብስብ,አታንከርፍፍ
ንቁ,ፈዛዛ ያልሆነ
ሁለትምህርት ቤት,በጣም ተዋደዋል
ወጡን ቅቤ ነሰረው,ቅቤ በዝቶበታል
አፉ ተሸበሸበ,እንዳይናገር ተከለከለ
አገሪቷ ለውጥ ያሻታል,እድገትና መሻሻል
በዱላ አበራየው,ክፉኛ ደበደበው
ሸናበት,አላገጠባት
ምላስህን ሰብስብ,አትናገር አደብ ግዛ
ሰቀላ ቤት,አግድም አራት ማእዘን ቤት
ምድርና ሰማይ ዞረባት,ተደነጋገረ
ቅስሙ ተሰበረ,ተስፋ ቆረጠ
ብትሰማ ይሻላል,ጉዳዩን ብታጤነው ብታሰላስልበት
እንባ ረጨበት,በጣም አዝኖ አለቀሰ
ልበ ደፋር,ጎበዝ ቆራጥ
ቂጣም,ወፍራም
ቅቤ አንጓች,እወደድ ባይ
እሾህ አፍ,ተሳዳቢ ሰው
አለባበሰ,ደበቀ
በቁሙ ቀበረው,ደባ ሰራበት
ባጭር ቀጨ,ባጭር አስቀረው
ጉቦ በላ,ጉቦ ተቀበለ
ሰው ሰው አትበል,አትንቀልቀል
ማላ ፋቱ,ሲምል የማያፍር
የቁርጥ ዋጋ,የመሸጫው ዋጋ
ነቀዝ,ቢበላ የማይጠገብ
ምግበ ስጋ,እህል ውሀ
ተቋቋመው,ነገሩን ራሱ ተወጣው
የቃርሚያ ሩጫ,አስቸጋሪ የሆነ ሩጫ
ቃል ሰጠ,ተናገረ ውለታ ገባ
ቆይቶ ቆይቶ,አልፎ አልፎ
ዝናብ ቀጠቀጠው,ዝናብ አራሰው
ሸማ በየፈረጀ ይለበሳል,ሰው በየጠባዩ ይወደዳል
በሀሳብ ባከነ,በሀሳብ ተዋጠ
ክረምቱ ተጫነ,ከበደ
ስራ ፈት,ማጋጣ ዋልጌ 
አይለመደኝም,አልደግመው
አራገጠ,አዋሰነ
ተቆረቆረ,አሰበ
ሞተር አስነሳ,እንዲንቀሳቀስ አደረገ
በነገር ነደፈው,አስቀየመው
አፅመምህርስት,ከአያት ከቅድመ አያት የመጣ እርስት
አትቁጠርብኝ,ሰበብ አታድርገኝ
ችግር አለው,የሚያደርገውን አጣ
አይሞላለት,አያልፍለት አይሳካለት 
የሰው ባዶ,ደንቆሮ
በሽታው ቀለለው,እየተሻለው ሄደ
የበግ ለምድ የለበሰ,ውስጠ ተንኮል ያለበት
ልብ አብሽቅ,አናዳጅ
ባህር ወለድ,የብዙ ልጅ እናት
ሰው እንዳይሆን የለም,መሳሳት አይቀርም
ውሀ በላው,ሰካራም ሆነ
ሎሚ በየተራ,ሁሉም በዬድሉ
ልቡ ሰባ,ታበየ
ብትክ ብትክ አለ,ተዘባነነ
ቀጭ መታው,አለፍሬ አስቀረው
መንገድ ቀደደ,መንገድ አወጣ
እንደ ተረከበው,እንደ አቅሙ
ቅንድብ መሸለል,በኩል ማጋጠም
በረከት የለሽ,አድፈንፋኝ
ቅጠ ቢስ,የማያምር
የሞቀ ቤት,የደራና የተደራጀ ቤት
በየቤቱ,በየፊናው
ሀዘን ሸነቆጠው,ደራርቦ ደረሰበት
በወንጭፍ የሚነዳ,እጅግ በጣም ብዙ
ልበ ድንጋይ,የነገሩትን የማይሰማ
ተባራሪ ጥይት,ያልታለመለትን ነገር የመታ ጥይት
ቢል ያለች እንጀራ,ስስ እንጀራ
ገንዘቡ ቀለጠ,ጠፍቶ ቀረ
አሻሮ ቃሚ,ድሀ
አይኑ ቀላ,አስተያየቱ የምቀኛ ነው
ማርም አልልስ,በጣም ጠግቤያለሁ
በቅሎ ነች,መውለድ አትችልም
ዳኛን ሰበረ,ወደበላይ ዳኛ ሄዱ የተችኛውን ንቆ
በረኛ,በር ጠባቂ
ሰው በመሰል ይሞታል,በይሆናል
ለጋ ቅቤ,ትኩስ ቅቤ
ዛር ስትወልድ ቢያይ የሚያምጥ,እርግብግብ ሩህሩህ
በሰፈሩት ቁና,በሰሩት ስራ
ባጭር ተቀጠፈ,በልጅነቱ ሞተ
ኋላ ኋላ አለ,አፈገፈገ
ሻ ብትን,መለያየት
ልቡ ቀረ,አንድ ነገር ወደደ
የወላድ መካን,ልጅ የማያድግላት
ልቡ ቋመጠ,ከጀለ ጎመጀ
የሆነው ይሁን አለ,ተስማማ
ልቤ ረጋ,ተንፈስ አለ
ጠመንጃውን ንቀስ,ቀና አድርገህ ያዝ
ቁጭ ቁጭ አደረገ,በጥቂት በጥቂቱ አወጣ
ገበታው ሳሳ,እንጀራው አነሰ
ልቡ ወደደ,አፈቀረ
ስራ ሰሪውን,ተንኮል አድራጊውን
መንግጎ ወሰደ,ቀምቶ ወሰደው
ቅል ራስ,ባዶ ራስ
ቅሌም ይኸው ነው,አካሄዱማ እንዲህ ነበር
መከተ,ተቋቋመ ተቻቻለ
ሲሮጥ ያሰሩት,በውል ያልታሰረ በችኮላ የታሰረ
አልሚና ለሚ,ኮከባቸው የሚገጥም
ገላ ነክ,የውስጥ ልብስ
የሆነ ያልሆነውን,ማንኛውንም ነገር
በምጥ ማርያም አለ,አማጠነ ለመነ
አይኑን አነሳ,አቀና
ዳኛው ሰማ,ክሱን አዳመጠ
ሆዴ ተቋጠረ,አርበኝ አለ
ሆድ ሆዴን,ውስጣዊ ስሜቴን
ቅርብ ለቅርብ,ጎን ለጎን
ካንድ ወንዝ የተቀዱ,ነገር ስራቸው የተመሳሰለ
የሰይጣን ስራ,ክፋት
በነገር ሸነቆጠው,ወቀሰው
ልቡን ሰበረው,አሳዛነው
መዝገብ ላይ ውስጥ ተከለ,መዘገበ
ሆዱ ጎሸ,በነገር ተነካ
ነገር በላ,የነገር ስልት አወቀ
አለከፈ,ትንሽ ትኝሽ ሰጠ
ልበ ገር,መልካም ሰው
ቀንዳ ቀንዳ አለ,ልብለጥ ልብለጥ አለ
በገና መታ,በገና ተጫወተ
በቁርጥ ስራ,በተወሰነ ጊዜ አልቆ የሚያስረክቡት
እሳት የላፈው,ፈጣን
የሰይጣን ነገር,ክፉ ነገር
ልብ አደረገ,አጤነ አስተዋለ
ቀፎ ለቀፎ,ውስጥ ለውስጥ
እሾህ አይውጋህ,ክፉ አይንካህ
ቆዳ ተማሪ,አእምሮው ትምህርት የማይቀበል ተማሪ
ተቆለለ,ኮራ
ልቡን በላው,አሳዘነው ነካው
ባህር ሸሸ,በበጋ የሚደርቅ ኩሬ
ቆሌው ተገፏል,በረከት አጥቷል
ውሸቱን ለቀቀው,ሳያፍር በብዛት ዋሸ
መግል ሰራ,አቆረ
ስጋ በል,አውሬ
ሽል ያለ,ራሱ ትንሽ አካሉ ወፍራም የሆነ ሰው
እማኝ አነሳ,ቋጠረ
ሀሳብ ተሰነቀረብኝ,ድንገት ሀሳብ ገባኝ
ተሆነ ተሆነ,የሚቻል ከሆነ
ክፉ ነገር ረመጠብኝ,ሳላስበው ክፉ ነገር ነገረኝ
ቅጥቡ ሞላ,እድሜው ሞላ
ብእር ነቀል ሆነ,ትምህርቱን ጨረሰ
አይሆንም,ጥሩ አይደለም
ራስ ላይ ወጣ,አሰከረ
ተሽጦ,ጥገኛ ሆኖ
ሰርቆሽ በር,የሚስጥር በር
ሁለተኛ ስራ,ተጣርቶ ያልተሰራ አዳጋሚ ስራ
ይቅናህ,ይሳካልህ
ሽጉጥ ጠጣ,በገዛ እጁ ሞተ
ነገርን ነገር ያነሳዋል,ያስታውሳል
መላቅጡ የጠፋ ነገር,መያዣ መጨበጫ የሌለው
በጅ አለ,እሺ አለ
መቼም መቸ,ምንግዜም
ፊቱ ተሸበሸበ,ተጨማደደ
ባላጋራ,ጠላት
የወንድ በር,በጠላት ሰራዊት መካከል የጎበዝ መተላለፊያ መንገድ
ወሬ አቃዳ,ወሬውን ከአንዱ ወደ ሌላው አዳረሰ
ቁና ቁና ተነፈሰ,ድካም ታየበት
ቀኑ በራ,ፀሀያማ ሆነ
የቤት ስራ,እቤት የሚከናወነው ትምህርት
ችክ አለ,ሙዝዝ አለ
ያስችልህ,ትእግስት ይስጥህ
ቁርበት ጣሉለት,መኝታ አንጥፉለት
በትር ቀመሰ,ተመታ
አይነ ሰባራ,አይን አፋር
ባህር ሸሽ,ዳር ዳሩ የሚደርቅ ሀይቅ
ቀንዱን ተመታ,መሳሪያው ተመታ
ቁራጫም,ፍፁም ደሀ
ስሙን ተከለ,በሰራው ታዋቂ ሆነ
አቃለለ,አራከሰ
አነቃቂ,ሀይል ጉልበት የሚሰጥ አበረታች
በነገር ቀቀለኝ,በነገር አናደደኝ
የቢስ የቸር,የክፉ የበጎ
ስልጡን እጅ,የሰው እቃ ከማንሳት የማይቆጠብ
ባርያ ድንጋይ,በቶሎ የማይሰበር ድንጋይ
የቤት ጣጣ,የትዳር ነገር
የብሎት ቀን,ስጋና ቅቤ የሚበላበት ፆም ያልሆነ ቀን
ሁለቱ ድርና ማግ ሁነዋል,በፍፁም ተስማምተዋል
የአይን ምሳ,የሚያምር ነገር
ሰውነቴን ነዘረኝ,ሰውነቴን አርገፈገኝ
አደራ በላ,አደራ አስቀረ
ቁስሉ ምጠጠ,ቁስሉ ደረቀ
ዱላ መዘዘ,ተጣለ
ስሜቱ ቀዘቀዘ,ቅስሙ ተሰበረ
ብልቱን መታው,የነገሩን ጫፍ ደረሰበት
ቁርጡ ታወቀ,እውነቱ ታወቀ
ሰባራ ስንጥር,ማንኛውም ቁሳቁስ
ውሸቱን ላፈው,አብዝቶ ዋሸ
እግሩ ቀለለ,ፈጠነ
ዝናቡ አቆመ,ዝናቡ መዝነብ አቆመ
የረጋ ነው,አደብ የገዛ ነው
ለቀለቀኝ,በነገር በከለኝ
ነክረው,ቂል ጅላጅል
ሱሪ ቢጣልባት የምታረግዝ,ወንድ ቢገናኛት ማርገዟ የማይቀር
ሌባ ሚዛን,አሳንሶ የሚመዝን ሚዛን
እቀልቤ ገባ,ወደድኩት
ነገር አመላላሽ,ነገር የሚያሰፋ
ትምህርት ቀላወጠ,በየቦታው እየዞረ ተማረ
አብራጃ,ንፋስ ያለበት
ለከት የሌለው,መጠን የሌለው
መድሀኒት ቀመሰ,መድሀኒት ዋጠ
ልብሱን ለወጠ,ሌላ ልብስ ገዛ
ኬላ ሰበረ,ወሰን ጣሰ
ወዳጅኔቴን ሰርዣለሁ,አቁማለሁ
ሳምልኝ,ሰላምታ አቅርብልኝ
ደም ግባቱ ረገፈ,ውበቱ ጠፋ
ሙሉ ሰው,የ አመት ጎልማሳ
ካርኔ ቆራጭ,የመንግስት ገንዘብ ሰብሳቢ
አባቃ አብቃቃ,እንዲዳረስ አደረገ
ምን አለብኝ,ማን ይነካኛል
የወፍ ቋንቋ,ሲሰሙት የማይገባ ቋንቋ
ሆዱን ቆረጠው,እጅግ አሳዘነው
ሆድና ጀርባ,ፈፅሞ አለመግባባት
የሰው አገር,የባእድ አገር
ምስክር ቆጠረ,እማኝ አበጀ
ግብር ተከለ,ግብር አወጀ
ቆቡን ጣለ,አለማዊ ሆነ
ሆዳም,ብዙ የሚበላ
ሙት ለሙት ያለቅሳል,ቢደጋገምም እርባን የሌለው
ወንጀል ሰራ,ህግ ያላከበረ
ቆሽት አንድድ,ልግመኛ አባያ
ለነበር ነበር,ለወሬ ወሬ
ልቡ በደስታ ሰከረ,ከልክ በላይ ተደሰተ
መቀነትሽን አጥባቂ,ሀዘኑን ቻይው
አቃለጠ,ወሬ አዳመቀ
የተተፋው ሳይደርቅ,ፋታ ሳይሰጥ
መሬት ቁና ሆነ,መጨነቅና መጠበብ ሆነ
ቢሆን ባይሆን,የፈለገው ቢደረግ
የዛር በቅሎ,የምትቸኩል
ምድር መሸበት,ጨለመበት ግራ ገባው
ቁመተ ስጋ,ምድራዊ ሰውነት
ንድፍ የመሰለ እንጀራ,በጣም ነጭ
ዳንኪራ መታ,ጨፈረ
ንክ,እብድ
ተልባ መታ,ተልባውን በውሀ በጠበጠ
ራሱን ሳመ,አደራህን ይህን ነገር አድርግልኝ አለው
ፊደል ቆጠረ,ፊደል መምህር ጀመረ
ሰው አደረገው,ራሱን አስቻለው
መከራ ቀመሰ,ችግር ገጠመው
በጎ ሆነ,ዳነ
ትቶት ሂዷል,ጥእም የለውም
ጫት ቃመ,ጫት አኘከ
መዝጊያ ቆረቆረ,መዝጊያ አንኳኳ
በመላ ሄደ,በዳበሳ
መቸውንም,ሁልጊዜም ምንጊዜም
ልጓም ጣሰ,አልታዘዝ አለ
በምንም ምክንያት,ከተቻለ
ብልቱን ያመዋል,አባላዘሩን
ግብር ነቀለ,ግብር አነሳ
የቀለም ቀንድ,አዋቂ
ሆኖም አያውቅ,ተሞክሮም አያውቅ
አንጀቱ ተበጠሰ,ተቀየመ
ንዳድ,ወባ
ስመ ጥቁ,ዝነኛ
ሽንት,ልጅ
ልብ አለ,አስታወሰ ተገነዘበ
ለብ አለው,ትንሽ ሰከረ
አላሰ,ማር ጨመረ
በቁሙ ተመለሰ,ቶሎ ተመለሰ
ማተቡን በጠሰ,ሀይማኖቱን ካደ
ላባ ቀረሽ,እብድ
የቆመ,የቆዬ
ቤት መታ,ግጥም ገጠመ
ቂጡ ቄጤማ ቆረጠ,ተደሰተ
ሰማይ ለሰማይ,በአየር ላይ
ቆነደደ,ቀጣ
ተራ በተራ,ለዬብቻ
ብርድ ብርድ አለው,ፈራ
በሽታዬን አውቀህልኛል,ችግሬን ተረድተህልኛል
ቆዳ,ሞኝ
አበሰለ አበሰለች,ለፈቃደ ስጋ አባበላት
ለነገር ተሰለፈ,ለሙግት ለከርክር አቆበቆበ
በሀይል ተመነጠቀ,ተስፈንጥሮ ሄደ
ቀፈቀፈ,ወለደ
አባዛች,አሚተኛ
አፍንጫውን ነፋ,አኮረፈ
እጅ መንሻ,መታያ
የሰይጣን ቁራጭ,ጭራሽ ክፉ ሰው
ምን ገደደኝ,ምን ቸገረኝ
ቃርሚያው አያሳይም,ያሁኑ ውበትሽ የድሮውን አያመለክትም
በሽታው ተነሳ,አመመው
ቆጠረበት,አየበት
መሸኛ ደብዳቤ,ዋና ደብዳቤ
ብሽ አለው,አቅለሸለሸው
መነሻ,ምክንያት
ሽብሽብ አደረገ,መላልሶ ጠለፈ
ስንኳን,አይሆንም
አይጥ አበላ,ግብ አገባ
